7266;Gewerbliche Fachschule;Staatl. Fachschule (Technikerschule) für Maschinenbau Aschaffenburg ;Seidelstr. 2;63741;Aschaffenburg;http://www.km.bayern.de/schule/7266.html
14;Gymnasium;Friedrich-Dessauer-Gymnasium Aschaffenburg  ;Stadtbadstr. 4;63741;Aschaffenburg;http://www.km.bayern.de/schule/0014.html
7292;Berufsfachs. f. Hauswirtschaft u. Sozialberufe;Staatliche Berufsfachschule für Kinderpflege Aschaffenburg  ;Seidelstr. 4;63741;Aschaffenburg;http://www.km.bayern.de/schule/7292.html
7514;Volksschule (Grund- u. Mittelschulen);Schönberg-Mittelschule Aschaffenburg  ;Wilhelmstr. 62;63741;Aschaffenburg;http://www.km.bayern.de/schule/7514.html
7262;Berufsfachschule f. techn. Assistenzberufe;Priv. Berufsfachschule f. d. Bekleidungsindustrie im Schulträgerverband e.V., Aschaffenburg;Schneidmühlweg 3;63741;Aschaffenburg;http://www.km.bayern.de/schule/7262.html
7043;Fachakademie;Fachakademie für Heilpädagogik Aschaffenburg der Beruflichen Fortbildungszentren der Bayerischen Wirtschaft gemeinnützige GmbH;Lange Str. 9 - 11;63741;Aschaffenburg;http://www.km.bayern.de/schule/7043.html
7503;Volksschule (Grund- u. Mittelschulen);Dalberg-Mittelschule Aschaffenburg   ;Boppstr. 18;63741;Aschaffenburg;http://www.km.bayern.de/schule/7503.html
7511;Volksschule (Grund- u. Mittelschulen);Schiller-Grundschule Aschaffenburg   ;Schulstr. 39;63741;Aschaffenburg;http://www.km.bayern.de/schule/7511.html
7252;Kaufmännische Berufsfachschule;Staatl. Berufsfachschule für informations- u.telekommunikations- technische Berufe Aschaffenburg ;Seidelstr. 2;63741;Aschaffenburg;http://www.km.bayern.de/schule/7252.html
7149;Hauswirtschaftliche Fachschule;Fachschule für Heilerziehungspflege der bfz GmbH in Aschaffenburg  ;Lange Str. 14;63741;Aschaffenburg;http://www.km.bayern.de/schule/7149.html
7508;Volksschule (Grund- u. Mittelschulen);Christian-Schad-Grundschule Aschaffenburg-Nilkheim  ;Lindenweg 14;63741;Aschaffenburg;http://www.km.bayern.de/schule/7508.html
7317;Gewerbliche Fachschule;Städt. Fachschule (Technikerschule) für Elektrotechnik (Schwerpunkt Energie- u. Automatisierungstechn.) Aschaffenburg;Seidelstr. 2;63741;Aschaffenburg;http://www.km.bayern.de/schule/7317.html
7158;Berufsfachschule des Gesundheitswesens;Priv. Berufsfachschule für Ergotherapie der IB - Medizinische Akademie in Aschaffenburg;Erlenmeyerstr. 4 - 6;63741;Aschaffenburg;http://www.km.bayern.de/schule/7158.html
7237;Berufsschule;Staatl. Berufsschule I Aschaffenburg  ;Seidelstr. 2;63741;Aschaffenburg;http://www.km.bayern.de/schule/7237.html
410;Realschule;Staatliche Realschule für Knaben Aschaffenburg  ;Darmstädter Str. 2;63741;Aschaffenburg;http://www.km.bayern.de/schule/0410.html
7249;Fachakademie;Priv. Fachakademie für Sozial- pädagogik der Caritas-Schulen gGmbH in Aschaffenburg ;Julius-Krieg-Str. 3;63741;Aschaffenburg;http://www.km.bayern.de/schule/7249.html
7009;Berufsfachschule des Gesundheitswesens;Private Berufsfachschule für Physiotherapie der IB-Gesellschaft für interdisziplinäre Studien- Medizinische Akademie Aschaffenburg;Erlenmeyerstr. 6;63741;Aschaffenburg;http://www.km.bayern.de/schule/7009.html
578;Realschule;Private staatl. genehmigte Realschule Krauß Aschaffenburg  ;Erlenmeyerstr. 3-5;63741;Aschaffenburg;http://www.km.bayern.de/schule/0578.html
7088;Berufsfachschule des Gesundheitswesens;Priv. Berufsfachschule für Logopädie der IB-Medizinischen Akademie in Aschaffenburg ;Erlenmeyerstr. 4-6;63741;Aschaffenburg;http://www.km.bayern.de/schule/7088.html
7291;Berufsschule;Staatl. Berufsschule III Aschaffenburg  ;Seidelstr. 4;63741;Aschaffenburg;http://www.km.bayern.de/schule/7291.html
804;Berufsoberschule;Staatliche Berufsoberschule Aschaffenburg  ;Ottostraße 1;63741;Aschaffenburg;http://www.km.bayern.de/schule/0804.html
7502;Volksschule (Grund- u. Mittelschulen);Dalberg-Grundschule Aschaffenburg   ;Boppstr. 18;63741;Aschaffenburg;http://www.km.bayern.de/schule/7502.html
7293;Berufsfachs. f. Hauswirtschaft u. Sozialberufe;Staatl. Berufsfachschule für Ernährung und Versorgung Aschaffenburg ;Seidelstr. 4;63741;Aschaffenburg;http://www.km.bayern.de/schule/7293.html
7097;Wirtschaftsschule;Private Wirtschaftsschule Krauss Aschaffenburg  ;Erlenmeyerstr. 3-5;63741;Aschaffenburg;http://www.km.bayern.de/schule/7097.html
7509;Volksschule (Grund- u. Mittelschulen);Pestalozzi-Grundschule Aschaffenburg  ;Matthäusstr. 18;63743;Aschaffenburg;http://www.km.bayern.de/schule/7509.html
7219;Berufsschule zur sonderpädagog. Förderung;Johannes-de la Salle-Schule,Berufs- schule z. sonderpäd. Förd., Förder- schwerpunkt Lernen, Aschaffenburg, der Caritas-Schulen gGmbH;Rhönstraße, Gebäude 690;63743;Aschaffenburg;http://www.km.bayern.de/schule/7219.html
7506;Volksschule (Grund- u. Mittelschulen);Hefner-Alteneck-Mittelschule Aschaffenburg  ;Bavariastr. 39;63743;Aschaffenburg;http://www.km.bayern.de/schule/7506.html
7626;Volksschule (Grund- u. Mittelschulen);Mozart-Mittelschule Aschaffenburg-Obernau  ;Mozartstr. 4;63743;Aschaffenburg;http://www.km.bayern.de/schule/7626.html
7077;Volksschule zur sonderpädagog. Förderung;Förderzentrum, Förderschwerpunkt körperliche u. motorische Entwickl. Verein f. Körper- u. Mehrfachbeh. e.V. Würzburg in Aschaffenburg;Gutwerkstr. 38a;63743;Aschaffenburg;http://www.km.bayern.de/schule/7077.html
7521;Volksschule (Grund- u. Mittelschulen);Hefner-Alteneck-Grundschule Aschaffenburg  ;Bavariastr. 39;63743;Aschaffenburg;http://www.km.bayern.de/schule/7521.html
7540;Volksschule (Grund- u. Mittelschulen);Mozart-Grundschule Aschaffenburg-Obernau  ;Mozartstr. 4;63743;Aschaffenburg;http://www.km.bayern.de/schule/7540.html
7597;Volksschule (Grund- u. Mittelschulen);Erich-Kästner-Grundschule Aschaffenburg-Gailbach  ;Glaserstr. 1;63743;Aschaffenburg;http://www.km.bayern.de/schule/7597.html
7510;Volksschule (Grund- u. Mittelschulen);Pestalozzi-Mittelschule Aschaffenburg  ;Sonnenstr. 27;63743;Aschaffenburg;http://www.km.bayern.de/schule/7510.html
7620;Volksschule (Grund- u. Mittelschulen);Schule am Weinberg Grundschule Alzenau-Michelbach  ;Schulstr. 15;63755;Alzenau;http://www.km.bayern.de/schule/7620.html
3;Gymnasium;Spessart-Gymnasium Alzenau   ;Brentanostr. 55;63755;Alzenau;http://www.km.bayern.de/schule/0003.html
7643;Volksschule (Grund- u. Mittelschulen);Karl-Amberg-Mittelschule Alzenau  ;Prischoßstr. 28;63755;Alzenau;http://www.km.bayern.de/schule/7643.html
7000;Volksschule zur sonderpädagog. Förderung;Hahnenkamm-Schule Alzenau Förderzentrum Förderschwerpunkt Lernen ;Schwedenstr. 2;63755;Alzenau;http://www.km.bayern.de/schule/7000.html
7609;Volksschule (Grund- u. Mittelschulen);Grundschule Alzenau-Hörstein   ;Eichelsbacher Str. 8;63755;Alzenau;http://www.km.bayern.de/schule/7609.html
407;Realschule;Edith-Stein-Schule Staatliche Realschule Alzenau  ;Nikolaus-Fey-Str. 2a;63755;Alzenau;http://www.km.bayern.de/schule/0407.html
7594;Volksschule (Grund- u. Mittelschulen);Erich-Kästner-Grundschule Alzenau  ;Prischoßstr. 40;63755;Alzenau;http://www.km.bayern.de/schule/7594.html
7627;Volksschule (Grund- u. Mittelschulen);Grundschule Großostheim-Pflaumheim   ;St.-Luzia-Weg 1;63762;Großostheim;http://www.km.bayern.de/schule/7627.html
7602;Volksschule (Grund- u. Mittelschulen);Grundschule Großostheim   ;Mühlstr. 1;63762;Großostheim;http://www.km.bayern.de/schule/7602.html
7789;Volksschule (Grund- u. Mittelschulen);Anne-Frank-Grundschule Großostheim-Ringheim  ;Hasselstr. 10;63762;Großostheim;http://www.km.bayern.de/schule/7789.html
7638;Volksschule (Grund- u. Mittelschulen);Astrid-Lindgren-Grundschule Großostheim-Wenigumstadt  ;Hamoirstr. 9;63762;Großostheim;http://www.km.bayern.de/schule/7638.html
1071;Realschule;Staatl. Realschule Großostheim   ;Zur Welzbachhalle 1;63762;Großostheim;http://www.km.bayern.de/schule/1071.html
